no,aparelho,transporte,porta,motivo_da_porta,relatorios,segundos,hz,bytes_min,bytes_max,report_ids,crc_confere,crc_difere,crc_sem_trailer,crc_veredito,t0_parede,t1_parede,erro
hidraw4,d4:2f:4b:00:00:d8,cabo,broker (SCM_RIGHTS),o broker serviu o fd (nó hidden) por /run/hefesto-hidraw-broker/broker.sock,15000,60.001,250.00,64,64,0x01x15000,0,0,0,sem trailer (no cabo os 4 últimos bytes são payload),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw5,a0:fa:9c:00:00:f0,cabo,broker (SCM_RIGHTS),o broker serviu o fd (nó hidden) por /run/hefesto-hidraw-broker/broker.sock,15000,60.001,250.00,64,64,0x01x15000,0,0,0,sem trailer (no cabo os 4 últimos bytes são payload),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw6,vpad P1,vpad (sem transporte),open() direto,o broker recusou: reject_not_physical_dualsense — caí no open() por caminho,9585,60.001,159.75,64,64,0x01x9585,0,0,0,sem trailer (o vpad não é transporte),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw7,vpad P2,vpad (sem transporte),open() direto,o broker recusou: reject_not_physical_dualsense — caí no open() por caminho,9576,60.001,159.60,64,64,0x01x9576,0,0,0,sem trailer (o vpad não é transporte),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw9,44:46:48:00:00:03,rádio,broker (SCM_RIGHTS),o broker serviu o fd (nó hidden) por /run/hefesto-hidraw-broker/broker.sock,24176,60.001,402.93,78,78,0x31x24176,24176,0,0,24176 conferem / 0 DIFEREM,2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw10,vpad P3,vpad (sem transporte),open() direto,o broker recusou: reject_not_physical_dualsense — caí no open() por caminho,10981,60.001,183.01,64,64,0x01x10981,0,0,0,sem trailer (o vpad não é transporte),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw11,14:3a:9a:00:00:ab,rádio,broker (SCM_RIGHTS),o broker serviu o fd (nó hidden) por /run/hefesto-hidraw-broker/broker.sock,11175,60.001,186.25,78,78,0x31x11175,11175,0,0,11175 conferem / 0 DIFEREM,2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
hidraw12,vpad P4,vpad (sem transporte),open() direto,o broker recusou: reject_not_physical_dualsense — caí no open() por caminho,1556,60.001,25.93,64,64,0x01x1556,0,0,0,sem trailer (o vpad não é transporte),2026-08-15 07:47:51.247,2026-08-15 07:48:51.248,
