quando,mac_mascarado,transporte,hidraw,porta,energia,bateria_pct,segundos,reports,taxa_host_hz,cadencia_do_controle_hz,giro_dps_mediano,giro_dps_maximo,giro_x_dps,giro_y_dps,giro_z_dps,giro_pela_regua_ingenua_1024,giro_no_offset_do_acelerometro_dps,evdev_no,evdev_amostras,evdev_giro_dps_mediano,evdev_resolution,acel_modulo_g_mediano,regua_lsb_por_dps,speed_2x,sens_denom,pares,saltos_do_contador,reports_perdidos,seq_parado_pares,silencio_p95_ms,silencio_max_ms,cauda_muda_ms,fracao_da_janela_medida,maior_parada_do_laco_ms,erro
2026-08-15T22:23:01.078,14:3a:9a:00:00:ab,cabo,hidraw8,broker (SCM_RIGHTS),Full,100,60.000,15013,250.2,245.2,1.6200,3.2721,-0.1472,-0.1908,-0.0625,0.02602,491.2,/dev/input/event265,15008,1.6190,1024,0.9763,16.42,1080,17734 17577 17829,15012,0,0,0,4.012,8.126,3.174,1.000,7.994,
2026-08-15T22:23:01.078,44:46:48:00:00:03,cabo,hidraw10,broker (SCM_RIGHTS),Charging,75,60.000,15008,250.1,246.5,0.9016,1.6146,0.4811,0.7235,-0.1756,0.01442,492.3,/dev/input/event272,15000,0.9011,1024,0.9837,16.39,1080,17702 17678 17662,15007,0,0,0,4.008,11.939,3.062,1.000,7.994,
