quando,mac_mascarado,transporte,hidraw,porta,energia,bateria_pct,segundos,reports,taxa_host_hz,cadencia_do_controle_hz,giro_dps_mediano,giro_dps_maximo,giro_x_dps,giro_y_dps,giro_z_dps,giro_pela_regua_ingenua_1024,giro_no_offset_do_acelerometro_dps,evdev_no,evdev_amostras,evdev_giro_dps_mediano,evdev_resolution,acel_modulo_g_mediano,regua_lsb_por_dps,speed_2x,sens_denom,pares,saltos_do_contador,reports_perdidos,seq_parado_pares,silencio_p95_ms,silencio_max_ms,maior_parada_do_laco_ms,erro
2026-08-15T22:19:38.675,a0:fa:9c:00:00:f0,rádio,hidraw4,broker (SCM_RIGHTS),Charging,95,60.000,1629,27.1,398.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.02099,0.0,/dev/input/event22,1586,1.3114,1024,0.9923,0.00,0,0 0 0,1628,1,2242,1628,6.996,19.031,4.122,
2026-08-15T22:19:38.675,d4:2f:4b:00:00:d8,rádio,hidraw5,-,?,?,0.000,0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0,-,0,0.0000,-,0.0000,0.00,0,0 0 0,0,0,0,0,0.000,0.000,4.122,"[Errno 13] /dev/hidraw5: as duas portas falharam. broker (SCM_RIGHTS): o broker não respondeu em /run/hefesto-hidraw-broker/broker.sock. open() direto: Permission denied. Se o nó está 0600 sem ACL, é o Hefesto escondendo o físico do jogo (broker/hidraw_broker.py) — a regra udev NÃO está errada."
2026-08-15T22:19:38.675,14:3a:9a:00:00:ab,cabo,hidraw8,-,Full,100,0.000,0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.0,-,0,0.0000,-,0.0000,16.42,1080,17734 17577 17829,0,0,0,0,0.000,0.000,4.122,"[Errno 13] /dev/hidraw8: as duas portas falharam. broker (SCM_RIGHTS): o broker não respondeu em /run/hefesto-hidraw-broker/broker.sock. open() direto: Permission denied. Se o nó está 0600 sem ACL, é o Hefesto escondendo o físico do jogo (broker/hidraw_broker.py) — a regra udev NÃO está errada."
2026-08-15T22:19:38.675,44:46:48:00:00:03,cabo,hidraw10,open() direto,Charging,75,60.000,15006,250.1,246.5,0.9141,272.4664,0.6082,0.2876,-0.1395,0.01462,492.3,/dev/input/event272,15000,0.9130,1024,0.9837,16.39,1080,17702 17678 17662,15005,0,0,0,4.009,4.122,4.122,
